ID;productNumber;name;description;price;unit
10000000-0000-0000-0000-000000000001;P1001;Ferrero Rocher 16 Pieces;Chocolate pralines with hazelnut;6.49;EA
10000000-0000-0000-0000-000000000002;P1002;Ferrero Collection 15 Pieces;Assorted premium pralines;7.49;EA
10000000-0000-0000-0000-000000000003;P1003;Kinder Bueno;Chocolate-covered wafer snack;1.29;EA
10000000-0000-0000-0000-000000000004;P1004;Kinder Chocolate;Milk chocolate bars with milk filling;2.49;EA
10000000-0000-0000-0000-000000000005;P1005;Kinder Joy;Chocolate treat with surprise toy;1.59;EA
10000000-0000-0000-0000-000000000006;P1006;Kinder Schoko-Bons;Milk chocolate bites with milk and hazelnut filling;3.49;EA
10000000-0000-0000-0000-000000000007;P1007;Nutella 450g;Hazelnut spread with cocoa;4.49;EA
10000000-0000-0000-0000-000000000008;P1008;Nutella B-ready;Wafer snack filled with Nutella;2.99;EA
10000000-0000-0000-0000-000000000009;P1009;Tic Tac Fresh Mint;Mint-flavoured sweets;1.49;EA
10000000-0000-0000-0000-000000000010;P1010;Raffaello;Coconut and almond confection;4.49;EA
